"Speaker Name","Start Time","End Time","Text"
"Unknown","00:00:00:04","00:00:15:19","Okay. Well, back to Gary's economics. Today we are doing the video that I was strongly advised not to make. And we are going to tell you who you need to vote for in this week's local elections. If you want to stop the collapse in living standards."
"Unknown","00:00:15:21","00:00:40:14","All right. So the basic context for our foreign friends or British people who are not particularly interested in local elections, which is quite a lot because local elections tend to get ignored. We have local elections coming up this week, coming on the seventh, which is the Thursday this coming week. And you need to vote in these elections because they are particularly big ones."
"Unknown","00:00:40:15","00:00:56:24","They're really important. Really, this is the closest you are going to get to a vote for who is going to be your next prime minister if you're here in the UK. So local elections do tend to get ignored. They don't change the Prime Minister, although this one quite possibly might."
"Unknown","00:00:56:24","00:01:00:05","But this one is really, really important. First of all, we've got a few big elections going up."
"Unknown","00:01:00:05","00:01:03:21","It's going to decide the new government in Scotland and in Wales."
"Unknown","00:01:03:21","00:01:10:11","The second big reason why this is important is because if you watched my video a few weeks ago, I spoke about how"
"Unknown","00:01:10:15","00:01:20:10","the established political parties in the UK, like in the rest of the Western world, are basically collapsing. And we have a situation now where"
"Unknown","00:01:20:12","00:01:31:17","historically, for hundreds of years the UK has been a two party political system, and in the next election we will have genuinely six or maybe even seven parties that have a big say on who will be the next prime minister."
"Unknown","00:01:31:17","00:01:55:19","And these local elections are going to be basically a big battling ground to decide which political parties are considered to be like the serious contenders for the next election. It's particularly important, obviously, for Labour, who are incredibly unpopular, and everybody will be looking to see how badly they do. It's going to be really important for the Greens, who are..."
"Unknown","00:01:55:21","00:02:19:24","There's a kind of battle going on at the moment in the UK to determine basically who is the legitimate person or party to vote for if you want to prevent a Reform government in the next German election. That was a big story in the recent by elections in Manchester. And I think there's going to be a big thing here about whether the Greens are the more legitimate anti Reform party in this country,"
"Unknown","00:02:20:02","00:02:39:06","In contrast to Labour. It will be important also for Reform who are well ahead in the polls but are seeming to lose a bit of popularity because of Donald Trump doing things which are hurting living standards and quite internationally unpopular. So it's going to be massive in deciding like who are the runners and riders for the next election?"
"Unknown","00:02:39:07","00:02:44:15","Basically, like will the established political parties, Labour and Conservatives disappear or will they not?"
"Unknown","00:02:44:15","00:02:48:11","And the third main reason why this is super important is because"
"Unknown","00:02:48:11","00:02:51:19","there is a realistic possibility that Keir Starmer will"
"Unknown","00:02:52:00","00:02:54:16","resign after the local elections."
"Unknown","00:02:54:16","00:02:58:18","So the context on that is that Keir Starmer is polling incredibly badly."
"Unknown","00:02:58:19","00:03:05:21","He is incredibly unpopular. He's apparently the least popular British prime minister in the history of polling."
"Unknown","00:03:06:00","00:03:11:12","There's a lot of controversy right now about Peter Mandelson and Jeffrey Epstein and all this stuff going on,"
"Unknown","00:03:11:12","00:03:22:04","but it is very possible that if Labour do incredibly badly in this election, he will be forced out. As a betting man, I should probably talk a little bit about how likely that is."
"Unknown","00:03:22:06","00:03:27:15","The market thinks there's about a 50% chance that Starmer goes before September."
"Unknown","00:03:27:15","00:03:32:00","and about a 66% chance he goes this year."
"Unknown","00:03:32:05","00:03:33:12","I actually think"
"Unknown","00:03:33:14","00:03:53:04","that is quite possible they'll keep him on a bit longer, but really, we don't know. But it is very possible. We can't say with certainty, but if it's not immediately or in the in the immediate period after these, these local elections that Starmer will go, I think it's very, very likely that he will go."
"Unknown","00:03:53:08","00:04:19:10","He will be forced to resign either this year or next year, which means that we will get here in the UK, a new Prime Minister, and these local elections are going to have a big influence on who the next Prime Minister will be. So if and when Keir Starmer resigns, the new prime minister will be decided within the Labour Party, between the MPs and the members."
"Unknown","00:04:19:10","00:04:36:02","And you, as an ordinary British person, if you're watching from the UK, will not be able to vote in that. So the closest you will have to a vote on deciding who will be the new Prime Minister, what would be the new direction for this country will probably be in these elections this week."
"Unknown","00:04:36:04","00:04:47:16","And the final reason why these local elections are important, and that you definitely need to vote in these local elections, is because we did a massive call out about it. I think it was three weeks ago. We did a video."
"Unknown","00:04:47:16","00:04:54:22","We posted the link on how to register to vote. If you haven't registered yet, it's too late, so make sure you register for the next one."
"Unknown","00:04:54:24","00:05:12:22","But we have decided to sort of step in a little bit on this and try to be a little bit more assertive and a little bit more aggressive in getting our viewership to vote and to participate. And the reason that we've done this is because really, we want to"
"Unknown","00:05:13:03","00:05:16:22","build a bit of ability to influence the Labour Party."
"Unknown","00:05:17:00","00:05:43:24","So if you've been watching this channel for a long time, you will know that we've grown very quickly in the last couple of years. And we have a very clear mission on this channel, which is we want to stop the growth in wealth inequality. We want to stop the growth in economic inequality. We want to improve living standards, and we want to do that by pressuring governments here in the UK and across the world, wherever you are, to build a fairer tax system which taxes wealth, very wealthy people more and taxes work, taxes working people less."
"Unknown","00:05:43:24","00:05:46:09","That's why we call it tax wealth, not work."
"Unknown","00:05:46:11","00:05:59:17","And we've been quite frustrated. I've been quite frustrated, especially in the last couple of years, because we have done a great job of making wealth taxes and fairer tax system incredibly popular with the public."
"Unknown","00:05:59:17","00:06:17:00","But center left political parties such as Labour or the Democrats or the center left party, wherever you are, have generally been incredibly resistant to these cause on wealth taxes, and in the UK in particular, Labour have been pretty reluctant to even speak to me about policy."
"Unknown","00:06:17:00","00:06:23:11","I did a documentary recently for Channel Four and they didn't. They refused to let me speak to anybody from the Treasury."
"Unknown","00:06:23:11","00:06:37:15","And it's been quite frustrating because I think we've created a situation where if Labour want to save the economy, if they want to stop living standards, or even if Labour just want to, like, not, you know, keep losing elections really badly."
"Unknown","00:06:37:15","00:06:46:19","I think that they should be speaking to me. And I've been trying my best to let them know if anyone out there is watching from Labour. We'd love to speak to you and email us on this email address."
"Unknown","00:06:46:19","00:06:55:08","But we've been really pushing to build a relationship where we advise Labour to some degree on on policy. And they've been really, really reluctant."
"Unknown","00:06:55:09","00:07:24:18","And while Labour has been ignoring us, we've had this emergence of a new leadership of the Green Party, which has really enthusiastically adopted our ideas on inequality and on wealth taxes. And has rapidly increased its popularity and has rapidly increased its vote share. And we, I always hoped that if Labour didn't listen, to be honest, I always anticipated something like this would happen."
"Unknown","00:07:24:19","00:07:40:01","My theory was always that if you make if you create a public which is enthusiastically supportive of wealth taxes, either Labour will have to talk to you or somebody else will pick up the idea. They will start to steal Labour's vote share and then Labour will have to talk to you."
"Unknown","00:07:40:01","00:07:44:22","But unfortunately, we've now reached the situation where that has started to happen."
"Unknown","00:07:44:24","00:08:09:20","Labour are now sort of being destroyed in the polls, both on their right by Reform and now on the left by the Greens and Labour are still incredibly reluctant to talk to us. So we're trying to take a little bit more of an assertive, aggressive strategy where we say to Labour, listen, either you talk to us or we will start telling our vote to vote against you, start telling our viewership to vote against you."
"Unknown","00:08:09:22","00:08:22:07","So if you want wealth taxes, and you're supporting the message of this channel, it's very important that you vote in these elections because we are trying to use these elections to try and persuade Labour to give us something on wealth taxes"
"Unknown","00:08:22:09","00:08:39:12","Okay, so we did our big call out three weeks ago. We really requested all of you to sign up to vote, and I hope all of you did. We called out also to the Labour Party saying, listen, make a pitch to us. We're going to instruct our viewership on how they should vote. And we want you to tell us why we should tell them to vote for Labour."
"Unknown","00:08:39:16","00:08:59:05","You know, convince us that Labour might at some point be willing to build towards being serious on wealth taxes. You know, I'm not demanding wealth taxes now, but just give us some signal that you could work towards them. And in those three weeks since we did that video, we have been contacted by one Labour MP, one backbench Labour MP, which is great."
"Unknown","00:08:59:09","00:09:25:18","I won't name you, but thank you very much for for calling out. But yeah, one is unfortunately not a great signal that Labour are going to be serious on wealth taxes, which means that I can now give you my official recommendation for who you should vote for this week. If you want wealth taxes, if you want to stop inequality from growing, if you want to stop living standards from falling, I think this week you need to vote for the Green Party."
"Unknown","00:09:25:18","00:09:33:08","And I've got my postal vote here, which I'll be sending after this. My postal, I'll be out voting for the Green Party."
"Unknown","00:09:33:10","00:09:46:06","I think this is it's pretty obvious why I've done this. We have one political party in this country which is really strongly advocating for wealth taxes. We have a government which"
"Unknown","00:09:46:08","00:09:52:10","really has just really given me no indication that they would ever be serious"
"Unknown","00:09:52:13","00:09:58:23","even considering wealth taxes, they've been quite reluctant to talk to me about policy."
"Unknown","00:09:58:23","00:10:05:23","So it's with, with a little bit of a heavy heart, because I would have loved to have a little bit more involvement. But the fact is,"
"Unknown","00:10:06:00","00:10:17:19","if you want wealth taxes in England in particular, the only way that you can indicate that to the Labour Party or the party in government is to vote the Greens this week."
"Unknown","00:10:17:19","00:10:44:18","So I strongly advocate you to vote for Greens, and I will be voting Greens this week on Thursday. I should probably also mention, because these elections are not just in England, there are elections in Scotland and in Wales. And I know we do have people watching from Scotland and Wales. So for those who do not know or aren't from the UK, in Scotland and Wales we also have Scottish nationalists and Welsh nationalists who are called the SNP, the Scottish Nationalist Party in Scotland and Plaid Cymru in Wales."
"Unknown","00:10:44:19","00:11:04:15","Both of these parties officially endorsed wealth taxes. But I've asked my Scotland expert called Laurie MacFarlane, who is a genuine Scottish economist who are the most passionate endorsers of a wealth tax in Scotland, and he says it would probably only be the Greens."
"Unknown","00:11:04:15","00:11:08:23","The SNP have been talking positively about wealth taxes, which I really support,"
"Unknown","00:11:08:23","00:11:12:21","but the party who are most enthusiastic for wealth taxes in Scotland is the Greens,"
"Unknown","00:11:12:23","00:11:17:13","and the Welsh situation is similar Plaid Cymru have supported wealth taxes."
